Title;Release_Date;Developers;Summary;Platforms;Genres;Rating;Plays;Playing;esrb_rating
Pencil Sharpening Simulator;Feb 04, 2015;['ArteF4ct'];It is a game about pencil sharpening, seriously.;['Windows PC'];['Simulator'];N/A;0;0;
Aaargh! Condor;TBD;[];;[];[];N/A;2;0;
Pan Panda;Oct 11, 2018;[];There are pandas. You rescue them and it's kinda like capture the flag I guess.;['Windows PC'];['Indie'];N/A;2;0;
My Little Pony: Best Friends Ball;TBD;[];;[];[];N/A;2;0;
B.O.O.M.: You Win;Jun 06, 2020;[];B.O.O.M. You Win is an explosive hot potato party game for one to four players where players gain points by holding onto an explosive ball for as long as possible before it explodes. Players must dodge their opponents and avoid explosives as they try to maintain control of the objective without being blown to pieces in the process. Featuring a simple pick up and play control scheme, B.O.O.M. is an explosive good time for players of all skill levels,;['Windows PC'];['Sport'];N/A;0;0;
Ai space;Oct 15, 2008;['Ai Space Production Committee'];A now defunct Japanese 3D MMO social game. Formed by a partnership between several companies, players had the chance to interact with characters and visit locations from the worlds of "Clannad", "Shuffle!", and "Da Capo II". /n Players could furnish their own dwellings, and meet up with one another on Akihabara Island to socialize. There were also online events such as water gun battles for players to participate in.;['Windows PC'];['Visual Novel'];N/A;4;0;
The Night of Fire Stealing 2;May 25, 2021;[];It's a difficult retro RPG game. No maps, no directions. Explore the dungeons as a team of four, moving freely through the maze and deftly dealing with various enemies. Fight the old gods in the eastern Tiantang city .;['Windows PC'];['Adventure'];N/A;0;0;
Just Cause 3: Bavarium Sea Heist Pack;Aug 18, 2016;[];Just Cause 3: Bavarium Sea Heist is the third PDLC pack from the Air, Land & Sea Expansion pass.;['Xbox One'];['Adventure'];N/A;2;0;
Pups & Purrs Pet Shop;TBD;[];;['Nintendo Switch'];[];N/A;0;0;
Astebros;TBD;[];Choose your hero among three different characters and go through procedural dungeons to eliminate your formidable opponents!;[];['Adventure'];N/A;0;0;
Total NBA '98;TBD;[];;[];[];N/A;2;0;
Disney's The Emperor's New Groove;TBD;[];Help Kuzco transform back into a human in this action game based on the film released in 2000.;[];['Platform'];N/A;1;0;Everyone 10+
Aaargh! Condor;TBD;[];;[];[];N/A;2;0;
Pan Panda;Oct 11, 2018;[];There are pandas. You rescue them and it's kinda like capture the flag I guess.;['Windows PC'];['Indie'];N/A;2;0;
B.O.O.M.: You Win;Jun 06, 2020;[];B.O.O.M. You Win is an explosive hot potato party game for one to four players where players gain points by holding onto an explosive ball for as long as possible before it explodes. Players must dodge their opponents and avoid explosives as they try to maintain control of the objective without being blown to pieces in the process. Featuring a simple pick up and play control scheme, B.O.O.M. is an explosive good time for players of all skill levels,;['Windows PC'];['Sport'];N/A;0;0;
Catan;May 02, 2007;['Big Huge Games'];The 2007 Xbox Live Arcade release of Catan, developed by Big Huge Games.;['Xbox 360'];['Card & Board Game'];3.4;10;0;Everyone
The Citizen Part II;Dec 25, 2010;[];Set in and around City 17, "The Citizen Part Two" contains the next three chapters of our citizen's story. After the events of the previous two chapters, you find yourself rescued from the grave by rebels, among whom you are now a valuable asset. Taken to a makeshift field hospital, you recover in the hands of rebel medics. But the Combine are determined to crush the rebels out of existence, and the peace can't last long. You will face choices, and how you decide to proceed will ultimately dictate how the story plays out for you. Some choices are less obvious than others, and require you to take initiative where you otherwise might be distracted. One way or another, it's time to take back the city.;['Windows PC'];['Shooter'];N/A;2;0;
Astebros;TBD;[];Choose your hero among three different characters and go through procedural dungeons to eliminate your formidable opponents!;[];['Adventure'];N/A;0;0;
Triachnid;Nov 02, 2006;['Edmund McMillen'];Triachnid is a physics based sidescroller, by the creator of Super Meat Boy.;['Web browser'];[];2.5;28;0;
Air Ranger 2: Rescue Helicopter;TBD;[];Air Ranger 2: Rescue Helicopter is a Flight Simulation game created by Garden.;[];['Simulator'];N/A;1;0;
Disney's The Emperor's New Groove;TBD;[];Help Kuzco transform back into a human in this action game based on the film released in 2000.;[];['Platform'];N/A;1;0;Everyone 10+
Pan Panda;Oct 11, 2018;[];There are pandas. You rescue them and it's kinda like capture the flag I guess.;['Windows PC'];['Indie'];N/A;2;0;
My Little Pony: Best Friends Ball;TBD;[];;[];[];N/A;2;0;
Just Cause 3: Bavarium Sea Heist Pack;Aug 18, 2016;[];Just Cause 3: Bavarium Sea Heist is the third PDLC pack from the Air, Land & Sea Expansion pass.;['Xbox One'];['Adventure'];N/A;2;0;
Grow Valley;Aug 23, 2010;['Eyezmaze'];Click panels in your selected order. Items you click will grow and grow with each turn. You will complete the game when all panels' level is max. They effect each other as they grow. So you have to think about the clicking order. /n There is a normal ending and a secret ending.;['Web browser'];['Puzzle'];3.5;62;0;
Blue Sphere Plus;May 16, 2011;[];Blue Sphere Plus is a Sonic & Knuckles hack. It is based on the Blue Sphere Standalone ROM, with new features, such as: /n - Pressing B or C now cycles between Sonic + Tails (blue + orange bumpers), Sonic alone (both blue), Tails (both orange), Knuckles + Tails (red + orange bumpers), and Knuckles (both red). /n - SRAM support to remember the character you last selected, and the last level completed. /n - If holding A while pressing Start to start a stage, the player starts all stages from then on at top speed (not saved between sessions). /n - You can now press Start at the first screen to reach the menu, instead of holding A + B + C. /n - Select "SONIC 3K" on the first menu, and you will play through all 16 of Sonic 3 & Knuckles' Special Stages in order, including the 2 "secret" ones. Saving and code entry are disabled while this mode is active, and the game will reset upon completion of the last stage. /n - Can Lock-On to other ROMs, including the Sonic games that would normally enable special modes when locked-on to Sonic & Knuckles. /n - Users can lock-on a file containing custom levels to play.;['Sega Mega Drive/Genesis'];['Puzzle'];N/A;2;0;
Pups & Purrs Pet Shop;TBD;[];;['Nintendo Switch'];[];N/A;0;0;
Astebros;TBD;[];Choose your hero among three different characters and go through procedural dungeons to eliminate your formidable opponents!;[];['Adventure'];N/A;0;0;
Lassie;Oct 12, 2007;[];Your chance to take part in a thrilling adventure as the most famous dog in the world! Lassie returns in this fun action game following on from the acclaimed movie. The story opens with the discovery that the villainous Eddie Hynes has returned to steal Lassie's litter of six pups. Through each level of the game you'll need to show bravery and determination to track down the missing pups and bring Hynes to justice!;['PlayStation 2'];['Adventure'];1.5;4;0;
Crazy Chicken Kart XXL;Dec 01, 2002;[];Moorhuhn's first venture into the racing genre. This kart racing game features a number of new characters that are to be introduced as members of the Moorhuhn-Family (known from the Moorhuhn shooters). /n The game features comic-style 3D-graphics, 5 different drivers - each with its own driving style - and 3 different game modes. /n The whole concept reminds one of the Mario Kart games. The player chooses a character, either Moorhuhn itself or Lesshuhn, Snowman or Pumpkinhead. The game's objective is to win the race, of course, but your opponent will try everything in their power to keep your chosen character from winning by sending you off the racetrack. To achieve this they resort to things like weights, water bombs, chewing gum, boards larded with nails or even rockets. But the player can also find these so called power-ups, small packages that can be found at random order on the racetrack. Unfortunately, you do not know what is in the packages until they are opened which adds a little surprise to the action. /n The kart is controlled using the arrow keys on the keyboard, but one can also use a Windows compatible gamepad. /n The XL version lacks the Duel mode and two courses.;['Windows PC'];['Racing'];3.1;8;0;
Medabots 4;Dec 31, 2001;[];;['Game Boy Color'];[];N/A;3;0;
Disney's The Emperor's New Groove;TBD;[];Help Kuzco transform back into a human in this action game based on the film released in 2000.;[];['Platform'];N/A;1;0;Everyone 10+
Dragon Warrior Monsters 2;Mar 09, 2001;[];;['Game Boy Color'];['RPG'];4.1;27;2;
Izbot 2;Mar 10, 2022;[];Izbot 2 is a fast paced precision platformer that will test your mettle and will leave you always wanting to complete just one more level. Use your cat like reflexes to guide our hero Izbot through buzz saws, lasers and a ton of pointy spikes to save the metropolis from the evil Bedlor once more.;['Windows PC'];['Indie'];N/A;3;0;
BlazBlue: Cross Tag Battle - Character Pack Vol. 5: Mai/Akihiko/Yuzuriha;Aug 06, 2018;[];Download Cross Tag Character Pack 5 to add three new fighters to your roster! Character Pack 5 contains Mai Natsume from BlazBlue, Akihiko Sanada from Persona 4 Arena, and Yuzuriha from Under Night In-Birth.;['Nintendo Switch'];[];N/A;4;0;
Just Cause 3: Bavarium Sea Heist Pack;Aug 18, 2016;[];Just Cause 3: Bavarium Sea Heist is the third PDLC pack from the Air, Land & Sea Expansion pass.;['Xbox One'];['Adventure'];N/A;2;0;
Grow Valley;Aug 23, 2010;['Eyezmaze'];Click panels in your selected order. Items you click will grow and grow with each turn. You will complete the game when all panels' level is max. They effect each other as they grow. So you have to think about the clicking order. /n There is a normal ending and a secret ending.;['Web browser'];['Puzzle'];3.5;62;0;
Tetris;Dec 31, 1991;['Fujitsu'];Tetris for Fujitsu OASYS series word processors. It was featured in many brochures of compatible models.;['Legacy Computer'];['Puzzle'];N/A;1;0;
Crazy Chicken Kart XXL;Dec 01, 2002;[];Moorhuhn's first venture into the racing genre. This kart racing game features a number of new characters that are to be introduced as members of the Moorhuhn-Family (known from the Moorhuhn shooters). /n The game features comic-style 3D-graphics, 5 different drivers - each with its own driving style - and 3 different game modes. /n The whole concept reminds one of the Mario Kart games. The player chooses a character, either Moorhuhn itself or Lesshuhn, Snowman or Pumpkinhead. The game's objective is to win the race, of course, but your opponent will try everything in their power to keep your chosen character from winning by sending you off the racetrack. To achieve this they resort to things like weights, water bombs, chewing gum, boards larded with nails or even rockets. But the player can also find these so called power-ups, small packages that can be found at random order on the racetrack. Unfortunately, you do not know what is in the packages until they are opened which adds a little surprise to the action. /n The kart is controlled using the arrow keys on the keyboard, but one can also use a Windows compatible gamepad. /n The XL version lacks the Duel mode and two courses.;['Windows PC'];['Racing'];3.1;8;0;
Disney's The Emperor's New Groove;TBD;[];Help Kuzco transform back into a human in this action game based on the film released in 2000.;[];['Platform'];N/A;1;0;Everyone 10+
Aaargh! Condor;TBD;[];;[];[];N/A;2;0;
MiniDayZ;TBD;[];A top-down demake of DayZ.;[];[];N/A;1;0;
Re:Birth Online;Jul 31, 2020;['CaretGames'];Adventures await in a world brought to life by realistic graphics! Experience genuine adventures in the grand world of REBIRTH ONLINE. Battle, craft, explore, and combine different types of equipment and abilities to create your own style of play.;['Windows PC'];['RPG'];N/A;0;0;
My Dream for the Future;Nov 28, 2020;['FreckledFemme'];A reflection on my life and dreams from the last 2 years. A personal project that took 2 years and a lot of life getting in the way to complete. During that time, I had almost no time for things like making games. This project is a hybrid between pixel landscapes and scenes I made back in the spring of 2019, and dialogue I wrote in the fall of 2020. Please explore, listen, and if you enjoy ramblings and reflection, you might have a good time.;['Web browser'];['Indie'];3.2;7;0;
Flex hooks;May 25, 2021;[];Flex hooks is a minimalist puzzler with a relaxing environment. Move the hooks and activate all the buttons.;['Windows PC'];['Indie'];N/A;2;0;
BlazBlue: Cross Tag Battle - Character Pack Vol. 5: Mai/Akihiko/Yuzuriha;Aug 06, 2018;[];Download Cross Tag Character Pack 5 to add three new fighters to your roster! Character Pack 5 contains Mai Natsume from BlazBlue, Akihiko Sanada from Persona 4 Arena, and Yuzuriha from Under Night In-Birth.;['Nintendo Switch'];[];N/A;4;0;
Just Cause 3: Bavarium Sea Heist Pack;Aug 18, 2016;[];Just Cause 3: Bavarium Sea Heist is the third PDLC pack from the Air, Land & Sea Expansion pass.;['Xbox One'];['Adventure'];N/A;2;0;
One Piece: Pirate Warriors 3 - DLC Pack 1;TBD;[];Extend your experience with 4 new missions and 4 exclusive costumes. This pack also includes 5 costumes from One Piece: Pirate Warriors 2 as a free gift!;[];[];N/A;2;0;
Adiboo: Nature, Animals & Planets;TBD;[];;[];[];N/A;2;0;
Nanomon;TBD;[];;[];[];N/A;1;0;
Astebros;TBD;[];Choose your hero among three different characters and go through procedural dungeons to eliminate your formidable opponents!;[];['Adventure'];N/A;0;0;
MLB 2002;May 07, 2001;['Sony Computer Entertainment of America'];Realistic baseball simulation is the name of the game in MLB 2002. Choose a team and lead your squad through a grueling, 162-game regular season, into the Playoffs, and straight to the World Series. All of the Major League teams, stadiums, and players are packed in here, with more than 300 motion-capture animations providing for extremely realistic play. They consulted over a dozen popular big leaguers in the construction of the game, yielding more than 250 signature moves and accurate player personalities. Take your pick from eight different styles of play, including Full Season, Playoffs, and a Franchise mode that casts you as the team's GM and lets you control all of the front office maneuvering. Hall of Fame announcer Vin Scully provides all of the play-by-play action, and Dave Campbell tags along doing color commentary. From the first pitch to the World Series-saving catch made in deep right field to close out the season, MLB 2002 is a complete baseball package.;['PlayStation'];['Sport'];N/A;3;0;
Assault Trooper;Feb 01, 1997;[];Assault Trooper is an isometric stealth shooter that sends you to perform fifty missions in many exotic locations, such as Libya, North Korea, Afghanistan, and so on. At the beginning of the game you get to choose from only a few different missions in each location, but completing them will open new ones. The objectives vary from, for example, assassinating enemy officers to stealing important documents or rescuing hostages.;['Windows PC'];['Shooter'];N/A;3;0;
Fightback;Jul 08, 2014;[];Fightback is a side-scrolling beat-'em-up for Android and iOS devices. It is developed by Ninja Theory.;['Android'];['Brawler'];N/A;5;0;
Air Ranger 2: Rescue Helicopter;TBD;[];Air Ranger 2: Rescue Helicopter is a Flight Simulation game created by Garden.;[];['Simulator'];N/A;1;0;
Disney's The Emperor's New Groove;TBD;[];Help Kuzco transform back into a human in this action game based on the film released in 2000.;[];['Platform'];N/A;1;0;Everyone 10+
Descent: Freespace - Silent Threat;Dec 31, 1998;[];Expansion to the original Freespace.;['Windows PC'];['Simulator'];3.6;11;0;
Jewel Quest Mysteries 3: The Seventh Gate;Feb 27, 2014;[];Join Rupert and Emma in Jewel Quest Mysteries as they traverse the ruins of ancient Egypt! Mystery reigns and only a keen eye can help you.;['Nintendo 3DS'];['Puzzle'];N/A;1;0;
beatmania for WonderSwan;Apr 28, 1999;['Konami'];A portable version of Konami's Beatmania series. The game features falling blocks that you must hit in time with the beat when they reach the judgement line.  /n  /n The game is played with the Wonderswan held vertically. A scratch attachment is included that you mount on the console to be able to trigger the scratch button more easily. Unlike the Game Boy versions of Beatmania, beatmania for WonderSwan features the original versions of the songs, instead of 8-bit renditions.  /n  /n The game is played in rounds, with each round giving you a selection of songs, as you clear the round a new selection with harder songs is made available. There are 11 songs included in the game.;['WonderSwan'];['Music'];3.5;4;0;
Izbot 2;Mar 10, 2022;[];Izbot 2 is a fast paced precision platformer that will test your mettle and will leave you always wanting to complete just one more level. Use your cat like reflexes to guide our hero Izbot through buzz saws, lasers and a ton of pointy spikes to save the metropolis from the evil Bedlor once more.;['Windows PC'];['Indie'];N/A;3;0;
BlazBlue: Cross Tag Battle - Character Pack Vol. 5: Mai/Akihiko/Yuzuriha;Aug 06, 2018;[];Download Cross Tag Character Pack 5 to add three new fighters to your roster! Character Pack 5 contains Mai Natsume from BlazBlue, Akihiko Sanada from Persona 4 Arena, and Yuzuriha from Under Night In-Birth.;['Nintendo Switch'];[];N/A;4;0;
Astebros;TBD;[];Choose your hero among three different characters and go through procedural dungeons to eliminate your formidable opponents!;[];['Adventure'];N/A;0;0;
Hobo Cat Adventures;Sep 30, 2021;[];Join a homeless cat in this 3d platformer with souls-lite combat and dark humor. Explore the Squirrel Kingdom - a place full of secrets, collectibles and new weapons to find. Complete jobs for weird characters. Fight, dodge or parry challenging enemies and bosses with a lock-on combat system.;['Windows PC'];['Adventure'];3.3;5;0;
Crazy Chicken Kart XXL;Dec 01, 2002;[];Moorhuhn's first venture into the racing genre. This kart racing game features a number of new characters that are to be introduced as members of the Moorhuhn-Family (known from the Moorhuhn shooters). /n The game features comic-style 3D-graphics, 5 different drivers - each with its own driving style - and 3 different game modes. /n The whole concept reminds one of the Mario Kart games. The player chooses a character, either Moorhuhn itself or Lesshuhn, Snowman or Pumpkinhead. The game's objective is to win the race, of course, but your opponent will try everything in their power to keep your chosen character from winning by sending you off the racetrack. To achieve this they resort to things like weights, water bombs, chewing gum, boards larded with nails or even rockets. But the player can also find these so called power-ups, small packages that can be found at random order on the racetrack. Unfortunately, you do not know what is in the packages until they are opened which adds a little surprise to the action. /n The kart is controlled using the arrow keys on the keyboard, but one can also use a Windows compatible gamepad. /n The XL version lacks the Duel mode and two courses.;['Windows PC'];['Racing'];3.1;8;0;
Fightback;Jul 08, 2014;[];Fightback is a side-scrolling beat-'em-up for Android and iOS devices. It is developed by Ninja Theory.;['Android'];['Brawler'];N/A;5;0;
Disney's The Emperor's New Groove;TBD;[];Help Kuzco transform back into a human in this action game based on the film released in 2000.;[];['Platform'];N/A;1;0;Everyone 10+
Santa's Xmas Caper;TBD;[];;[];[];N/A;1;0;
Descent: Freespace - Silent Threat;Dec 31, 1998;[];Expansion to the original Freespace.;['Windows PC'];['Simulator'];3.6;11;0;
beatmania for WonderSwan;Apr 28, 1999;['Konami'];A portable version of Konami's Beatmania series. The game features falling blocks that you must hit in time with the beat when they reach the judgement line.  /n  /n The game is played with the Wonderswan held vertically. A scratch attachment is included that you mount on the console to be able to trigger the scratch button more easily. Unlike the Game Boy versions of Beatmania, beatmania for WonderSwan features the original versions of the songs, instead of 8-bit renditions.  /n  /n The game is played in rounds, with each round giving you a selection of songs, as you clear the round a new selection with harder songs is made available. There are 11 songs included in the game.;['WonderSwan'];['Music'];3.5;4;0;
Flex hooks;May 25, 2021;[];Flex hooks is a minimalist puzzler with a relaxing environment. Move the hooks and activate all the buttons.;['Windows PC'];['Indie'];N/A;2;0;
BlazBlue: Cross Tag Battle - Character Pack Vol. 5: Mai/Akihiko/Yuzuriha;Aug 06, 2018;[];Download Cross Tag Character Pack 5 to add three new fighters to your roster! Character Pack 5 contains Mai Natsume from BlazBlue, Akihiko Sanada from Persona 4 Arena, and Yuzuriha from Under Night In-Birth.;['Nintendo Switch'];[];N/A;4;0;
Just Cause 3: Bavarium Sea Heist Pack;Aug 18, 2016;[];Just Cause 3: Bavarium Sea Heist is the third PDLC pack from the Air, Land & Sea Expansion pass.;['Xbox One'];['Adventure'];N/A;2;0;
Pog 6;Dec 21, 2021;[];Cute, minimal physical puzzle.;['Windows PC'];['Indie'];N/A;2;0;
Dragon Ball: Xenoverse - GT Pack 1;Mar 10, 2015;[];Extend your experience in the unique universe of Dragon Ball Xenoverse with this DLC GT Pack 1.;['Xbox One'];[];N/A;3;0;
Super Video Golf;Feb 02, 2023;['Trederia Games'];Super Video Golf is a turn based 90s themed golf game, with up to 8 players locally or 4 computers online allowing a total of 16 players in a single game. Offline modes include a tutorial, CPU opponents and a driving range.;['Windows PC'];['Sport'];N/A;1;0;
Astebros;TBD;[];Choose your hero among three different characters and go through procedural dungeons to eliminate your formidable opponents!;[];['Adventure'];N/A;0;0;
Space Impact 2;Dec 31, 2002;['Nokia'];One of the sequels to the game Space Impact for Nokia mobile phones. It was one of the pre-installed games on Nokia 3500 series phones (3510, 3510i, 3530).;['Mobile'];['Shooter'];3.0;7;0;
Crazy Chicken Kart XXL;Dec 01, 2002;[];Moorhuhn's first venture into the racing genre. This kart racing game features a number of new characters that are to be introduced as members of the Moorhuhn-Family (known from the Moorhuhn shooters). /n The game features comic-style 3D-graphics, 5 different drivers - each with its own driving style - and 3 different game modes. /n The whole concept reminds one of the Mario Kart games. The player chooses a character, either Moorhuhn itself or Lesshuhn, Snowman or Pumpkinhead. The game's objective is to win the race, of course, but your opponent will try everything in their power to keep your chosen character from winning by sending you off the racetrack. To achieve this they resort to things like weights, water bombs, chewing gum, boards larded with nails or even rockets. But the player can also find these so called power-ups, small packages that can be found at random order on the racetrack. Unfortunately, you do not know what is in the packages until they are opened which adds a little surprise to the action. /n The kart is controlled using the arrow keys on the keyboard, but one can also use a Windows compatible gamepad. /n The XL version lacks the Duel mode and two courses.;['Windows PC'];['Racing'];3.1;8;0;
Fightback;Jul 08, 2014;[];Fightback is a side-scrolling beat-'em-up for Android and iOS devices. It is developed by Ninja Theory.;['Android'];['Brawler'];N/A;5;0;
Road Trip: Arcade Edition;Dec 19, 2002;['Conspiracy Entertainment'];Road Trip: Arcade Edition is the GameCube edition in the Road Trip series of racing games. This game allows you to race tiny little toy cars around various oversized environments. Most of the cars resemble super-deformed versions of popular automobiles, but the actual model names are not used. There are dozens of tiny cars to collect. /n Some of the tracks in this game appear to be scaled to the size of your racer, others take place in oversized real-world environments, like a house or a garden. /n The usual racing game modes are present, single race, championship, and multi-player. Winning races allows you to purchase upgrades and other vehicles. You can also link this game with Road Trip: Shifting Gears.;['Nintendo GameCube'];['Racing'];N/A;1;0;
Tokimeki Memorial Pocket Sports Version: Koutei no Photograph;Feb 11, 1999;['Konami'];In 1999 Tokimeki Memorial was ported again to the Game Boy Color in two versions, Tokimeki Memorial Sports Version: Kotei no Photograph and Tokimeki Memorial Culture Version: Komorebi no Melody, dividing 10 of the characters between the two games and adding three new winnable characters, Patricia McGrath, Naomi Munakata, and Kyoko Izumi. The Game Boy Color versions also featured a Beatmania mini-game, compatibility with the Super Game Boy, a screen saver mode, and a two-player versus minigame. The game received a sequel the same year.;['Game Boy Color'];['Simulator'];N/A;2;0;
Ambidangerous;Aug 08, 2019;[];Ambidangerous is a top-down shooter that puts your ambidexterity to the test. Simultaneously control two elite soldiers as you fight your way through four randomized areas, five unique bosses, and a dozen enemy types. Take the challenge alone or share the controller with a friend for co-op play!;['Windows PC'];['Indie'];N/A;2;0;
Shadowrain;Feb 03, 2020;[];In complete darkness, all memories faded into obscurity, you wake up in a small apartment. Looking through the windows of Neo-Tokyo’s Highrise E5671, you see the city. The city, fallen completely silent. You are not alone. It’s getting closer.;['Windows PC'];['Indie'];N/A;0;0;
beatmania for WonderSwan;Apr 28, 1999;['Konami'];A portable version of Konami's Beatmania series. The game features falling blocks that you must hit in time with the beat when they reach the judgement line.  /n  /n The game is played with the Wonderswan held vertically. A scratch attachment is included that you mount on the console to be able to trigger the scratch button more easily. Unlike the Game Boy versions of Beatmania, beatmania for WonderSwan features the original versions of the songs, instead of 8-bit renditions.  /n  /n The game is played in rounds, with each round giving you a selection of songs, as you clear the round a new selection with harder songs is made available. There are 11 songs included in the game.;['WonderSwan'];['Music'];3.5;4;0;
Pump it up StepF2;TBD;[];;[];[];N/A;2;0;
Flex hooks;May 25, 2021;[];Flex hooks is a minimalist puzzler with a relaxing environment. Move the hooks and activate all the buttons.;['Windows PC'];['Indie'];N/A;2;0;
Photo-Life: Rina's Journey;TBD;[];Travel with Rina during a year as a photographer! 75 Pictures to unlock in Story & Extra modes. Procedurally generated mini-game.;[];[];N/A;1;0;
Dragon Ball: Xenoverse - GT Pack 1;Mar 10, 2015;[];Extend your experience in the unique universe of Dragon Ball Xenoverse with this DLC GT Pack 1.;['Xbox One'];[];N/A;3;0;
Fog and Sea;Apr 30, 2022;[];;['Windows PC'];['Visual Novel'];N/A;1;0;
Astebros;TBD;[];Choose your hero among three different characters and go through procedural dungeons to eliminate your formidable opponents!;[];['Adventure'];N/A;0;0;
Space Impact 2;Dec 31, 2002;['Nokia'];One of the sequels to the game Space Impact for Nokia mobile phones. It was one of the pre-installed games on Nokia 3500 series phones (3510, 3510i, 3530).;['Mobile'];['Shooter'];3.0;7;0;
Crazy Chicken Kart XXL;Dec 01, 2002;[];Moorhuhn's first venture into the racing genre. This kart racing game features a number of new characters that are to be introduced as members of the Moorhuhn-Family (known from the Moorhuhn shooters). /n The game features comic-style 3D-graphics, 5 different drivers - each with its own driving style - and 3 different game modes. /n The whole concept reminds one of the Mario Kart games. The player chooses a character, either Moorhuhn itself or Lesshuhn, Snowman or Pumpkinhead. The game's objective is to win the race, of course, but your opponent will try everything in their power to keep your chosen character from winning by sending you off the racetrack. To achieve this they resort to things like weights, water bombs, chewing gum, boards larded with nails or even rockets. But the player can also find these so called power-ups, small packages that can be found at random order on the racetrack. Unfortunately, you do not know what is in the packages until they are opened which adds a little surprise to the action. /n The kart is controlled using the arrow keys on the keyboard, but one can also use a Windows compatible gamepad. /n The XL version lacks the Duel mode and two courses.;['Windows PC'];['Racing'];3.1;8;0;
Fightback;Jul 08, 2014;[];Fightback is a side-scrolling beat-'em-up for Android and iOS devices. It is developed by Ninja Theory.;['Android'];['Brawler'];N/A;5;0;
Pel;Dec 01, 2008;[];Let the Pels bounce to safety by catching them with your paddle. Don’t let the Pels fall! Catch the power-ups to help you.;['Web browser'];[];N/A;2;0;
Scooby-Doo: Case File 1 - The Glowing Bug Man;Oct 20, 2002;['The Learning Company'];Scooby-Doo solves a mystery and fun puzzles in this computer game aimed at younger players.;['Windows PC'];['Adventure'];N/A;20;0;
Spider-Man: The Case of the Sinister Speller;Dec 31, 2004;['LeapFrog Enterprises'];Swing into action with Spider-Man and experience classic intrigue and suspense! This Leapster Electronic Comic Book tells the story frame-by-frame and teaches essential reading, grammar and spelling skills.;['Leapster'];[];N/A;7;0;
beatmania for WonderSwan;Apr 28, 1999;['Konami'];A portable version of Konami's Beatmania series. The game features falling blocks that you must hit in time with the beat when they reach the judgement line.  /n  /n The game is played with the Wonderswan held vertically. A scratch attachment is included that you mount on the console to be able to trigger the scratch button more easily. Unlike the Game Boy versions of Beatmania, beatmania for WonderSwan features the original versions of the songs, instead of 8-bit renditions.  /n  /n The game is played in rounds, with each round giving you a selection of songs, as you clear the round a new selection with harder songs is made available. There are 11 songs included in the game.;['WonderSwan'];['Music'];3.5;4;0;
Godzilla and the Martians;Dec 31, 1984;['Temptation Software Ltd.'];“Leap over Martian invaders — scale ladders — jump the man traps — rescue “the girl of your dreams” — oxygen pollution and time limited — for SUPERHUMANS only."  /n  /n Godzilla & the Martians is a 1984 platformer video game for the Sinclair ZX Spectrum developed by Neil Streeter of Temptation Software Ltd.;['ZX Spectrum'];['Platform'];N/A;1;0;
Flex hooks;May 25, 2021;[];Flex hooks is a minimalist puzzler with a relaxing environment. Move the hooks and activate all the buttons.;['Windows PC'];['Indie'];N/A;2;0;
Just Cause 3: Bavarium Sea Heist Pack;Aug 18, 2016;[];Just Cause 3: Bavarium Sea Heist is the third PDLC pack from the Air, Land & Sea Expansion pass.;['Xbox One'];['Adventure'];N/A;2;0;
Blue Sphere Plus;May 16, 2011;[];Blue Sphere Plus is a Sonic & Knuckles hack. It is based on the Blue Sphere Standalone ROM, with new features, such as: /n - Pressing B or C now cycles between Sonic + Tails (blue + orange bumpers), Sonic alone (both blue), Tails (both orange), Knuckles + Tails (red + orange bumpers), and Knuckles (both red). /n - SRAM support to remember the character you last selected, and the last level completed. /n - If holding A while pressing Start to start a stage, the player starts all stages from then on at top speed (not saved between sessions). /n - You can now press Start at the first screen to reach the menu, instead of holding A + B + C. /n - Select "SONIC 3K" on the first menu, and you will play through all 16 of Sonic 3 & Knuckles' Special Stages in order, including the 2 "secret" ones. Saving and code entry are disabled while this mode is active, and the game will reset upon completion of the last stage. /n - Can Lock-On to other ROMs, including the Sonic games that would normally enable special modes when locked-on to Sonic & Knuckles. /n - Users can lock-on a file containing custom levels to play.;['Sega Mega Drive/Genesis'];['Puzzle'];N/A;2;0;
Astebros;TBD;[];Choose your hero among three different characters and go through procedural dungeons to eliminate your formidable opponents!;[];['Adventure'];N/A;0;0;
Hobo Cat Adventures;Sep 30, 2021;[];Join a homeless cat in this 3d platformer with souls-lite combat and dark humor. Explore the Squirrel Kingdom - a place full of secrets, collectibles and new weapons to find. Complete jobs for weird characters. Fight, dodge or parry challenging enemies and bosses with a lock-on combat system.;['Windows PC'];['Adventure'];3.3;5;0;
Lost Squad;TBD;['Oak Gear'];Lost Squad extends the award-winning Half-Life universe allowing to look at familiar events through the eyes of Barney Calhoun and the gameplay with ability to destroy environments, play with friends in co-op mode, fight newly-spawned creatures and much more.;['Windows PC'];['Adventure'];N/A;0;0;
